CODE;GROUP_CODE;NAME
3628;Hotel/Motel (Lodging);3628 Excalibur Hotel And Casino
3662;Hotel/Motel (Lodging);3662 Circus Circus Hotel Casino
3669;Hotel/Motel (Lodging);3669 Eldorado Hotel And Casino
3761;Hotel/Motel (Lodging);3761 Primadonna Hotel And Casino
3763;Hotel/Motel (Lodging);3763 Chateau Elan Winery Resort
3767;Hotel/Motel (Lodging);3767 Main Street Hotel And Casin
3771;Hotel/Motel (Lodging);3771 Caesars Hotel And Casino
3837;Hotel/Motel (Lodging);3837 HOSHINO RESORTS
3793;Hotel/Motel (Lodging);3793 The Flamingo Hotels
3615;Hotel/Motel (Lodging);3615 Travelodge Motels
3625;Hotel/Motel (Lodging);3625 Hotel Universal
3631;Hotel/Motel (Lodging);3631 Sleep Inn
3632;Hotel/Motel (Lodging);3632 The Phoenician
3675;Hotel/Motel (Lodging);3675 Interhotel Cedok
3688;Hotel/Motel (Lodging);3688 Compri Hotels
3695;Hotel/Motel (Lodging);3695 Embassy Suites
3697;Hotel/Motel (Lodging);3697 Fairfield Hotels
3703;Hotel/Motel (Lodging);3703 Residence Inn
3707;Hotel/Motel (Lodging);3707 Shoney's Inn
3566;Hotel/Motel (Lodging);3566 GARDEN PLACE HOTEL
3594;Hotel/Motel (Lodging);3594 ARIZONA BILTMORE
3814;Hotel/Motel (Lodging);3814 THE ROOSEVELT HOTEL NY
5044;Mail/Telephone/Preauth order;5044 Office/Photogr/Cpy/Microfil
5962;Mail/Telephone/Preauth order;5962 Direct Marketing-Travel Rel
5964;Mail/Telephone/Preauth order;5964 Direct Marketing-Catalog Me
5966;Mail/Telephone/Preauth order;5966 Direct Marketing-Outbound T
5969;Mail/Telephone/Preauth order;5969 Direct Marketing-Other Dire
5198;Mail/Telephone/Preauth order;5198 Paints/Varnishes Supplies
3045;Transportation;3045 Nigeria Airways
3057;Transportation;3057 VIRGIN AMERICA
3058;Transportation;3058 Delta
3075;Transportation;3075 Singapore Airlines
3081;Transportation;(Obsolete) 3081 Nordair
3092;Transportation;3092 Midway Airlines
3098;Transportation;3098 Asiana Airlines
3106;Transportation;3106 Braathens S.A.F.E(Nor)
3135;Transportation;3135 Sudan Airways
3144;Transportation;3144 Virgin Atlantic   Viratl
3145;Transportation;3145 San Juan
3184;Transportation;3184 LIAT
3186;Transportation;3186 LAP (Paraguay)
3192;Transportation;(Obsolete) 3192 Iran National
3196;Transportation;3196 Hawaiian Air
3203;Transportation;3203 Golden Pacific Air
3221;Transportation;3221 Transportes Aereos Militare
3223;Transportation;3223 Comair
3229;Transportation;3229 Saeta
3235;Transportation;3235 Brockway Air
3240;Transportation;3240 Bahamasair
3242;Transportation;3242 Avensa
3251;Transportation;3251 Aloha Airlines
3025;Transportation;3025 Air New Zealand
3027;Transportation;3027 UTA/InterAir
3036;Transportation;3036 VASP (Brazil)
3292;Transportation;3292 Cyprus Airways
3295;Transportation;3295 Kenya Airways
3297;Transportation;3297 Tarom Romanian Air Transpor
3298;Transportation;3298 Air Mauritus   Airmauri
3006;Transportation;3006 Japan Air Lines
3007;Transportation;3007 Air France
3014;Transportation;3014 Saudi Arabian Airlines
3015;Transportation;3015 SWISS International Airline
3017;Transportation;3017 South African Airways
3062;Transportation;3062 HAPAG-LLOYD EXPRESS AIRLINES
3302;Transportation;3302 FLYBE LTD
3180;Transportation;3180 WESTJET Airlines
3351;Vehicle Rental;3351 Affiliated Auto Rental
